author_login,total_commits,avg_additions,avg_deletions,avg_total_changes,max_changes,std_changes,avg_hour,std_hour,late_night_commits,early_morning_commits,weekend_commits,unique_days,total_prs,merged_prs,avg_merge_hours,std_merge_hours,avg_first_review_hours,avg_pr_additions,avg_pr_deletions,avg_changed_files,avg_review_comments,total_review_comments,merge_rate,churn_ratio,off_hours_ratio,pr_size_score
DonJayamanne,9,247.33333333333334,65.33333333333333,312.6666666666667,1107,356.74605814220286,9.222222222222221,5.403188359149109,0,3,0,3,4.0,4.0,20.44,26.66324936437168,0.0975,400.25,140.75,4.5,2.0,8.0,1.0,0.2641509433962264,0.3333333333333333,541.0
Giuspepe,6,2752.3333333333335,521.8333333333334,3274.1666666666665,19382,7891.372134595267,13.333333333333334,1.2110601416389966,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1895967058253603,0.0,0.0
TylerLeonhardt,8,720.375,114.125,834.5,3155,1025.4941665920317,17.625,6.045954964153424,2,1,0,3,4.0,4.0,1.145,0.7148193244916276,0.10333333333333333,794.0,67.0,11.25,2.5,10.0,1.0,0.1584244317195905,0.375,861.0
aaronpowell,1,325.0,11.0,336.0,336,0.0,18.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033846153846153845,0.0,0.0
aeschli,4,143.75,97.75,241.5,603,254.18431632708317,16.25,6.075908711186061,1,0,0,2,1.0,1.0,4.56,0.0,0.14,430.0,173.0,23.0,6.0,6.0,1.0,0.68,0.25,603.0
alexdima,2,38.5,1.5,40.0,78,53.74011537017761,10.0,0.0,0,0,0,1,5.0,5.0,0.398,0.10183319694480775,0.06,26.0,2.4,1.8,0.8,4.0,1.0,0.03896103896103896,0.0,28.4
alexr00,3,65.0,9.0,74.0,174,89.3532316147547,12.666666666666666,2.5166114784235836,0,0,0,2,1.0,0.0,0.0,0.0,0.05,1.0,1.0,1.0,1.0,1.0,0.0,0.13846153846153847,0.0,2.0
anthonykim1,4,283.5,108.75,392.25,1238,564.054592511517,10.5,8.34665601703261,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3835978835978836,0.25,0.0
benibenj,23,769.9130434782609,121.52173913043478,891.4347826086956,10738,2201.338039922062,18.608695652173914,4.293114258848195,8,0,0,4,4.0,4.0,3.065,5.051867641443772,0.08333333333333333,266.5,96.5,10.0,2.5,10.0,1.0,0.15783826519087418,0.34782608695652173,363.0
benvillalobos,4,1516.75,48.75,1565.5,5309,2501.976485367785,20.25,0.9574271077563381,0,0,0,3,2.0,2.0,1.74,1.7536248173426379,0.14500000000000002,278.5,24.5,7.5,4.5,9.0,1.0,0.03214109114883797,0.0,303.0
bhavyaus,3,232.33333333333334,31.333333333333332,263.6666666666667,372,163.98882075718862,10.666666666666666,9.29157324317757,0,1,0,1,3.0,2.0,1.5699999999999998,1.5556349186104046,0.08499999999999999,15.333333333333334,9.333333333333334,2.0,1.0,3.0,0.6666666666666666,0.13486370157819225,0.3333333333333333,24.666666666666668
connor4312,13,1101.2307692307693,291.53846153846155,1392.7692307692307,8422,2295.140451542714,18.846153846153847,5.177614538346043,4,1,0,3,4.0,3.0,5.6066666666666665,8.639475292709236,0.075,407.25,164.0,15.25,0.5,2.0,0.75,0.26473875384185525,0.38461538461538464,571.25
cwebster-99,2,1.0,0.0,1.0,1,0.0,14.5,2.1213203435596424,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dependabot[bot],1,7.0,7.0,14.0,14,0.0,20.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
dileepyavan,3,113.66666666666667,160.66666666666666,274.3333333333333,510,246.09009190402878,7.666666666666667,10.692676621563626,0,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.413489736070381,0.6666666666666666,0.0
dmitrivMS,4,415.0,43.25,458.25,1722,842.7377508256449,6.25,6.652067347825035,0,3,0,2,5.0,5.0,4.526,8.115314534877868,0.125,337.2,35.4,7.6,4.6,23.0,1.0,0.10421686746987951,0.75,372.59999999999997
eleanorjboyd,2,274.5,13.0,287.5,547,366.9884194358182,18.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04735883424408015,0.0,0.0
gjsjohnmurray,1,1.0,1.0,2.0,2,0.0,16.0,0.0,0,0,0,1,1.0,1.0,2718.17,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
hediet,5,4.8,4.4,9.2,22,8.555699854482976,13.8,3.5637059362410923,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666667,0.0,0.0
joaomoreno,1,898.0,647.0,1545.0,1545,0.0,7.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.720489977728285,0.0,0.0
joshspicer,3,454.3333333333333,126.0,580.3333333333334,1201,599.7302171254449,13.333333333333334,11.930353445448853,1,1,0,2,2.0,2.0,94.885,98.66260917895897,0.1,465.5,137.0,10.0,6.0,12.0,1.0,0.2773294203961849,0.6666666666666666,602.5
jruales,2,8.0,2.0,10.0,16,8.48528137423857,15.0,11.313708498984761,1,0,0,2,1.0,1.0,1.57,0.0,0.0,14.0,2.0,1.0,0.0,0.0,1.0,0.25,0.5,16.0
justschen,8,203.25,18.0,221.25,621,220.45002673103554,4.875,5.617256574927962,0,7,0,3,6.0,6.0,21.775000000000002,48.619818489994394,0.0925,119.66666666666667,25.666666666666668,3.3333333333333335,2.5,15.0,1.0,0.08856088560885608,0.875,145.33333333333334
kycutler,2,951.0,21.5,972.5,1354,539.5224740453358,10.0,14.142135623730951,0,1,0,1,2.0,2.0,25.345,33.09966842734229,0.125,284.5,13.5,4.5,2.5,5.0,1.0,0.02260778128286015,0.5,298.0
lramos15,6,49.666666666666664,19.0,68.66666666666667,176,71.07085666197268,17.5,2.2583179581272432,0,0,0,2,2.0,2.0,1.13,0.608111831820431,0.05,69.5,33.0,4.5,1.0,2.0,1.0,0.3825503355704698,0.0,102.5
lszomoru,5,153.2,25.2,178.4,587,243.82124599796467,17.4,5.9413803110051795,1,0,0,3,3.0,3.0,1.3800000000000001,1.4435719587190656,0.07,132.33333333333334,18.333333333333332,6.0,1.3333333333333333,4.0,1.0,0.16449086161879897,0.2,150.66666666666669
meganrogge,11,73.36363636363636,26.818181818181817,100.18181818181819,285,86.88016825699427,19.90909090909091,2.467976720090587,3,0,0,3,1.0,1.0,6.45,0.0,0.05,8.0,0.0,1.0,1.0,1.0,1.0,0.3655514250309789,0.2727272727272727,8.0
mrleemurray,6,79.16666666666667,36.833333333333336,116.0,423,172.99017313130824,14.833333333333334,2.562550812504343,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652631578947368,0.0,0.0
pwang347,7,127.42857142857143,22.285714285714285,149.71428571428572,528,200.71514997271987,12.714285714285714,9.827076298239907,0,2,0,4,6.0,4.0,17.595,21.421594245060287,5.28,220.33333333333334,21.333333333333332,7.833333333333333,4.0,24.0,0.6666666666666666,0.1748878923766816,0.2857142857142857,241.66666666666669
rfeltis,1,23.0,5.0,28.0,28,0.0,19.0,0.0,0,0,0,1,1.0,1.0,2.57,0.0,0.06,23.0,5.0,2.0,2.0,2.0,1.0,0.21739130434782608,0.0,28.0
roblourens,11,74.27272727272727,32.63636363636363,106.9090909090909,281,93.92172756658019,15.909090909090908,10.094102688744012,5,3,0,4,9.0,8.0,3.81875,8.099894950817925,0.08399999999999999,77.0,13.666666666666666,3.2222222222222223,1.1111111111111112,10.0,0.8888888888888888,0.4394124847001224,0.7272727272727273,90.66666666666667
romalpani,1,19.0,6.0,25.0,25,0.0,19.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0
sandy081,19,276.2631578947368,101.63157894736842,377.89473684210526,2673,600.3499807738855,12.421052631578947,8.500429985684281,3,5,0,3,6.0,6.0,0.875,0.5119667957983213,0.095,599.8333333333334,207.66666666666666,15.0,2.8333333333333335,17.0,1.0,0.3678795961135455,0.42105263157894735,807.5
ulugbekna,4,131.25,8.75,140.0,298,126.46211553926601,12.25,5.560275772537426,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
vijayupadya,2,213.5,13.5,227.0,393,234.75945135393377,20.5,3.5355339059327378,1,0,0,1,3.0,3.0,9.633333333333333,7.7028393033564795,0.08666666666666667,309.3333333333333,46.666666666666664,9.666666666666666,6.0,18.0,1.0,0.06323185011709602,0.5,356.0
vritant24,7,1310.7142857142858,187.28571428571428,1498.0,8197,3001.881354528634,16.571428571428573,6.579187965525404,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428882833787466,0.14285714285714285,0.0
vs-code-engineering[bot],4,16.75,2.75,19.5,53,23.072349974229617,15.75,7.088723439378913,1,1,0,3,4.0,3.0,53.333333333333336,90.43616606940684,0.0,11.75,13.5,1.25,0.0,0.0,0.75,0.16417910447761194,0.5,25.25
yavanosta,1,3.0,1.0,4.0,4,0.0,8.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
