author,total_prs,dominant_sentiment,avg_confidence,frustrated_count,blocked_count,confident_count,sentiment_risk
Copilot,2,neutral,0.5780000000000001,0,0,0,False
Dmitriusan,1,neutral,0.667,0,0,0,False
DonJayamanne,4,neutral,0.655,0,0,0,False
EhabY,1,neutral,0.625,0,0,0,False
JeffreyCA,1,neutral,0.693,0,0,0,False
Nedunchezhiyan-M,7,neutral,0.6165714285714285,0,0,0,False
TylerLeonhardt,4,neutral,0.6747500000000001,0,0,0,False
XQZZZ13,1,neutral,0.694,0,0,0,False
aeschli,1,neutral,0.674,0,0,0,False
alexdima,5,neutral,0.46299999999999997,0,0,1,False
alexr00,1,neutral,0.607,0,0,0,False
ashleylamont,1,neutral,0.676,0,0,0,False
benibenj,4,neutral,0.64975,0,0,0,False
benvillalobos,2,neutral,0.7015,0,0,0,False
bhavyaus,3,neutral,0.6153333333333334,0,0,0,False
connor4312,4,neutral,0.6275,0,0,0,False
dmitrivMS,5,neutral,0.6672,0,0,0,False
gjsjohnmurray,1,neutral,0.64,0,0,0,False
joshspicer,2,neutral,0.6890000000000001,0,0,0,False
jruales,1,neutral,0.642,0,0,0,False
justschen,6,neutral,0.578,0,0,1,False
kycutler,2,neutral,0.683,0,0,0,False
lramos15,2,neutral,0.607,0,0,0,False
lszomoru,3,neutral,0.5756666666666667,0,0,0,False
meganrogge,1,neutral,0.579,0,0,0,False
mxi-box,1,neutral,0.656,0,0,0,False
n-gist,1,neutral,0.53,0,0,0,False
pranavvaid-ac,2,neutral,0.643,0,0,0,False
pwang347,6,neutral,0.6733333333333333,0,0,0,False
rfeltis,1,neutral,0.698,0,0,0,False
roblourens,9,neutral,0.6792222222222222,0,0,0,False
rwoll,1,neutral,0.631,0,0,0,False
sandy081,6,neutral,0.5996666666666667,0,0,1,False
tamuratak,1,neutral,0.691,0,0,0,False
vijayupadya,3,neutral,0.6999999999999998,0,0,0,False
vs-code-engineering[bot],4,neutral,0.68075,0,0,0,False
