pr_number,title,author,state,merged,created_at,merged_at,closed_at,time_to_merge_hours,first_review_hours,comments,review_comments,commits_in_pr,additions,deletions,changed_files,label_count
322882,"Fix context size default + reload behaviour, add defensive fallbacks",pwang347,closed,True,2026-06-25 06:30:23+00:00,2026-06-25 08:34:41+00:00,2026-06-25 08:34:41+00:00,2.07,0.08,0,2,7,495,33,6,0
322886,Agents - extract the ChangesViewModel into a service,lszomoru,closed,True,2026-06-25 07:38:15+00:00,2026-06-25 08:32:38+00:00,2026-06-25 08:32:38+00:00,0.91,0.07,0,2,1,62,9,4,0
322875,Implement session resource aliasing for untitled and real chat sessions,DonJayamanne,closed,True,2026-06-25 05:21:59+00:00,2026-06-25 08:32:19+00:00,2026-06-25 08:32:19+00:00,3.17,0.09,0,2,3,537,82,6,0
322831,Fix context key references,benibenj,closed,True,2026-06-24 21:40:54+00:00,2026-06-25 08:18:02+00:00,2026-06-25 08:18:02+00:00,10.62,,1,0,1,3,3,3,0
322721,Skip Copilot CLI 2nd reply in editor,alexr00,closed,False,2026-06-24 13:26:39+00:00,,2026-06-24 15:10:11+00:00,,0.05,0,1,1,1,1,1,0
322057,Prepare for 1.125.1,alexdima,closed,True,2026-06-19 08:09:05+00:00,2026-06-19 08:39:35+00:00,2026-06-19 08:39:35+00:00,0.51,,0,0,1,5,5,4,0
298925,:lipstick: correct command capitalization in /causedByExtension response,gjsjohnmurray,closed,True,2026-03-03 10:36:43+00:00,2026-06-24 16:47:02+00:00,2026-06-24 16:47:02+00:00,2718.17,,2,0,5,1,1,1,0
322880,build: keep Linux smoke test data off the small OS root disk,jruales,closed,True,2026-06-25 06:16:22+00:00,2026-06-25 07:50:18+00:00,2026-06-25 07:50:18+00:00,1.57,,1,0,2,14,2,1,0
322878,Optimize session restoration with parallel processing,DonJayamanne,closed,True,2026-06-25 05:55:56+00:00,2026-06-25 06:31:48+00:00,2026-06-25 06:31:48+00:00,0.6,0.11,0,2,2,15,11,1,0
321956,fix: prevent expected Copilot auth error from leaking as unhandled rejection (fixes #321950),vs-code-engineering[bot],closed,True,2026-06-18 16:22:43+00:00,2026-06-25 06:08:22+00:00,2026-06-25 06:08:22+00:00,157.76,,0,0,2,6,1,1,2
322870,AH: honor yolo mode setting,justschen,closed,True,2026-06-25 04:17:13+00:00,2026-06-25 05:16:48+00:00,2026-06-25 05:16:49+00:00,0.99,0.07,0,4,6,122,15,6,0
322871,Follow ups for Agent Host tools support,dmitrivMS,closed,True,2026-06-25 04:24:50+00:00,2026-06-25 04:53:44+00:00,2026-06-25 04:53:44+00:00,0.48,,0,0,9,5,7,2,1
322620,Add Tools to Chat Customizations,dmitrivMS,closed,True,2026-06-23 21:48:09+00:00,2026-06-24 16:45:16+00:00,2026-06-24 16:45:16+00:00,18.95,0.12,2,17,7,1616,106,31,0
322869,Investigation: #321639 (GitHubLoginFailed) is unrelated to #321956,Copilot,closed,False,2026-06-25 04:06:56+00:00,,2026-06-25 04:21:17+00:00,,,0,0,1,0,0,0,0
322866,Show custom dialog for no updates available if possible,dmitrivMS,closed,True,2026-06-25 03:47:36+00:00,2026-06-25 04:15:52+00:00,2026-06-25 04:15:52+00:00,0.47,0.13,1,6,1,27,34,3,1
322865,agentHost: fix subagent transcript replay + bump Claude/Codex SDKs,TylerLeonhardt,closed,True,2026-06-25 03:42:43+00:00,2026-06-25 04:08:35+00:00,2026-06-25 04:08:35+00:00,0.43,,0,0,3,235,137,12,0
